_id,name,city,area,address_from_baidu,phone_number,telephone_from_baidu,departments,special,evaluation,followers,reservation,intro,img_url,position,url
6711fc445f4a555c8ce3c96c,北京协和医院,北京市,东城区,北京市东城区帅府园1号,010-69156114,(010)69156114,"内科,外科,骨科,妇产科,儿科,皮肤性病科,男科,眼科,耳鼻咽喉头颈科,口腔科,肿瘤科,中医科,不孕不育科,精神科,麻醉科,疼痛科,康复医学科,医学影像科,急诊医学科,病理科,营养科,重症医学科",,29000.0,20000.0,969000.0,简介：北京协和医院是集医疗、教学、科研于一体的现代化综合三级甲等医院，是国家卫生健康委指定的全国疑难重症诊治指导中心，最早承担高干...更多。,https://kano.guahao.com/hlarge_Gnr2953583.jpg,北京市东城区帅府园一号,https://www.guahao.com/hospital/17634310-b567-4d21-8a02-20dc15e90da5000
6711fc455f4a555c8ce3c96e,四川大学华西医院,成都市,武侯区,成都市武侯区国学巷37号,028-85422286,(028)85422114,"内科,外科,骨科,妇产科,儿科,皮肤性病科,眼科,耳鼻咽喉头颈科,肿瘤科,中医科,不孕不育科,中西医结合科,精神科,麻醉科,疼痛科,康复医学科,医学影像科,全科医疗科,病理科,医学检验科,护理门诊,营养科,重症医学科",,27000.0,6075.0,256.0,简介：在中国历史文化名城成都市，锦江万里桥头的华西坝，有一座闻名遐迩的医学城，她就是四川大学华西临床医学院/华西医院。,https://kano.guahao.com/hlarge_jHG2956808.jpg,四川省成都市武侯区国学巷37号,https://www.guahao.com/hospital/986c9a70-c720-11e1-913c-5cf9dd2e7135000
6711fc465f4a555c8ce3c970,中国人民解放军总医院301医院,北京市,海淀区,北京市海淀区复兴路28号,010-68182255,(010)66937748,"内科,外科,骨科,妇产科,儿科,皮肤性病科,男科,眼科,耳鼻咽喉头颈科,口腔科,肿瘤科,中医科,精神科,麻醉科,疼痛科,康复医学科,医学影像科,全科医疗科,急诊医学科,病理科,营养科","骨科,内分泌科,耳鼻咽喉头颈外科,肾脏病科",179000.0,73000.0,2270000.0,简介：解放军总医院是全军规模最大的综合性医院，集医疗、保健、教学、科研于一体，是国家重要保健基地之一，负责中央、军委和总部的医疗保...更多。,https://kano.guahao.com/hlarge_c7m2954342.jpg,北京市海淀区复兴路28号,https://www.guahao.com/hospital/5cee04f9-4cc8-4499-a35b-6f37f2dd8a74000
6711fc485f4a555c8ce3c972,上海交通大学医学院附属瑞金医院,上海市,黄浦区,上海市黄浦区思南路72号,021-64370045,,"内科,外科,骨科,妇产科,儿科,皮肤性病科,男科,眼科,耳鼻咽喉头颈科,口腔科,肿瘤科,中医科,不孕不育科,精神科,麻醉科,疼痛科,康复医学科,医学影像科,全科医疗科,急诊医学科,病理科,护理门诊,营养科","门诊肾脏,门诊血液,门诊内分泌",165000.0,99000.0,2204000.0,简介：上海交通大学医学院附属瑞金医院(上海瑞金医院)建于1907年，原名广慈医院，是一所三级甲等大型综合性教学医院。,https://kano.guahao.com/hlarge_HaT2958119.jpg,上海市黄浦区瑞金二路197号,https://www.guahao.com/hospital/dde98fc9-4183-48ee-8c84-453058fa7fe3000
6711fc4a5f4a555c8ce3c974,西京医院,西安市,新城区,西安市新城区长乐西路127号,029-88886666,(029)84774114,"内科,外科,骨科,妇产科,儿科,皮肤性病科,男科,眼科,耳鼻咽喉头颈科,肿瘤科,中医科,精神科,麻醉科,疼痛科,康复医学科,医学影像科,急诊医学科,病理科,医学检验科,护理门诊,营养科",,73000.0,3713.0,39.0,简介：中外知名的西京医院坐落在美丽的古城西安，其前身是延安抗战烽火岁月里诞生的中央医院，1954年与原第五军医大学附属医院合并，为...更多。,https://kano.guahao.com/hlarge_7hZ2956781.jpg,陕西省西安市长乐西路15号,https://www.guahao.com/hospital/986c8a85-c720-11e1-913c-5cf9dd2e7135000
6711fc4b5f4a555c8ce3c976,复旦大学附属华山医院,上海市,静安区,上海市静安区乌鲁木齐中路12号,021-52889999,(021)52889999,"重症医学科,变态反应科,内科,外科,骨科,皮肤性病科,眼科,耳鼻咽喉头颈科,口腔科,肿瘤科,中医科,精神科,疼痛科,康复医学科,运动医学科,医学影像科,全科医疗科,病理科,护理门诊,营养科","皮肤科,神经内科,神经外科,感染发热,抗生素研究所",557000.0,149000.0,5050000.0,简介：复旦大学附属华山医院创建于1907年，是复旦大学附属综合性教学医院和中国红十字会直属医院，1992年首批通过国家三级甲等医院...更多。,https://kano.guahao.com/hlarge_aZ02953450.jpg?timestamp=1479099468402,上海市静安区乌鲁木齐中路12号,https://www.guahao.com/hospital/125336754304601000
6711fc4d5f4a555c8ce3c978,复旦大学附属华山医院浦东院区,上海市,浦东新区,上海市浦东新区红枫路525号,021-38719999,(021)50301999,"内科,外科,骨科,妇产科,皮肤性病科,眼科,耳鼻咽喉头颈科,口腔科,肿瘤科,中西医结合科,精神科,康复医学科,运动医学科,医学影像科,护理门诊",,30000.0,34000.0,409000.0,简介：复旦大学附属华山医院浦东院区（上海国际医院）坐落在浦东金桥地区，毗邻碧云国际社区，距浦东国际机场25公里，陆家嘴金融服务区1...更多。,https://kano.guahao.com/hlarge_jyk2958614.jpg,上海市浦东新区红枫路525号,https://www.guahao.com/hospital/fb60b555-d22d-4229-b79c-ce9e96c82863000
6711fc4e5f4a555c8ce3c97a,上海华山医院宝山院区（原华山北院）,上海市,宝山区,上海市宝山区陆翔路108号,021-66895999,(021)66895999,"专病门诊,内科,外科,骨科,妇产科,儿科,皮肤性病科,眼科,耳鼻咽喉头颈科,口腔科,肿瘤科,中医科,中西医结合科,精神科,麻醉科,康复医学科,运动医学科,医学影像科,重症医学科",便民核酸检测,20000.0,28000.0,435000.0,简介：复旦大学附属华山医院北院于2012年12月18日试运行，是一家按上海市区域卫生规划设置的，集医、教、研于一体的三级甲等综合性...更多。,https://kano.guahao.com/hlarge_ERJ2958122.jpg,上海市宝山区陆翔路108号,https://www.guahao.com/hospital/DD5E1CC4E11B1016E0400A0AC8642080000
6711fc4f5f4a555c8ce3c97c,复旦大学附属华山医院永和分院,上海市,静安区,上海市静安区交城路100号,021-56505528,,"内科,儿科,眼科,肿瘤科,中医科,康复医学科",,887.0,73.0,0.0,简介：复旦大学附属华山医院永和分院位于闸北区交城路100号，其前身为上海市闸北区彭浦永和地段医院。,https://kano.guahao.com/hlarge_GzZ2957193.jpg,上海市交城路100号,https://www.guahao.com/hospital/9a996484-c720-11e1-913c-5cf9dd2e7135000
6711fc505f4a555c8ce3c97e,复旦大学附属华山医院宝山分院,上海市,宝山区,上海市宝山区陆翔路108号,021-56731199,(021)66895999,"内科,外科,骨科,妇产科,儿科,皮肤性病科,眼科,耳鼻咽喉头颈科,口腔科,肿瘤科,康复医学科,医学影像科,病理科,医学检验科",,6936.0,522.0,0.0,简介：华山医院宝山分院位于宝山区长江西路1999号，是宝山区政府投资1.4亿元新建的二级综合性医院。,https://kano.guahao.com/hlarge_c942955569.jpg,上海市宝山区长江西路1999号,https://www.guahao.com/hospital/98683f53-c720-11e1-913c-5cf9dd2e7135000
